tradeDate,preClosePrice,highestPrice,lowestPrice
"2019-08-27",13.78,13.98,13.71
"2019-08-28",13.83,13.83,13.47
"2019-08-29",13.56,13.7,13.38
"2019-08-30",13.46,13.76,13.32
"2019-09-02",13.47,13.8,13.44
"2019-09-03",13.73,13.73,13.4
"2019-09-04",13.59,13.89,13.5
"2019-09-05",13.85,14.93,14.11
"2019-09-06",14.6,14.8,14.47
"2019-09-09",14.75,15.13,14.73
"2019-09-10",14.87,14.87,14.62
"2019-09-11",14.67,14.84,14.46
"2019-09-12",14.6,14.77,14.57
"2019-09-16",14.75,14.85,14.47
"2019-09-17",14.58,14.53,14.17
"2019-09-18",14.32,14.44,14.25
"2019-09-19",14.4,14.46,14.2
"2019-09-20",14.44,14.95,14.46
"2019-09-23",14.82,14.72,14.31
"2019-09-24",14.44,14.45,14.08
"2019-09-25",14.34,14.48,14.16
"2019-09-26",14.4,14.75,14.36
"2019-09-27",14.39,14.55,14.18
"2019-09-30",14.41,14.52,14.23
"2019-10-08",14.28,14.68,14.24
"2019-10-09",14.55,14.5,14.25
"2019-10-10",14.39,14.48,14.2
"2019-10-11",14.42,14.86,14.34
"2019-10-14",14.75,14.93,14.62
"2019-10-15",14.77,15.1,14.61
"2019-10-16",15.01,15.15,14.77
"2019-10-17",14.87,14.96,14.65
"2019-10-18",14.79,14.84,14.33
"2019-10-21",14.41,14.54,14.26
"2019-10-22",14.46,14.52,14.36
"2019-10-23",14.5,14.54,14.21
"2019-10-24",14.27,14.29,13.92
